"Square_id" "Abundance" "Richness" "Shannon" "Abundance.w2" "Abundance.2" "Shannon.w2" "Microplot_id" "Plot_id" "Crop" "Humidity"
"80" "M1-R16-M-1-22" 1 1 0 0 1 0 "M1-R16-M-1" "M1-R16" "M" 12
"81" "M1-R16-M-1-23" 1 1 0 0 1 0 "M1-R16-M-1" "M1-R16" "M" 20
"82" "M1-R16-M-1-24" 0 0 0 0 0 0 "M1-R16-M-1" "M1-R16" "M" 15
"83" "M1-R16-M-1-25" 3 3 1.09861228866811 1 2 0 "M1-R16-M-1" "M1-R16" "M" 21
"84" "M1-R16-M-1-3" 4 1 0 0 4 0 "M1-R16-M-1" "M1-R16" "M" 27
"85" "M1-R16-M-1-4" 9 2 0.348832095843032 0 9 0 "M1-R16-M-1" "M1-R16" "M" 12
"86" "M1-R16-M-1-5" 2 2 0.693147180559945 0 2 0 "M1-R16-M-1" "M1-R16" "M" 17
"87" "M1-R16-M-1-6" 1 1 0 0 1 0 "M1-R16-M-1" "M1-R16" "M" 17
"88" "M1-R16-M-1-7" 0 0 0 0 0 0 "M1-R16-M-1" "M1-R16" "M" 17
"89" "M1-R16-M-1-8" 3 1 0 0 3 0 "M1-R16-M-1" "M1-R16" "M" 17
"90" "M1-R16-M-1-9" 4 1 0 0 4 0 "M1-R16-M-1" "M1-R16" "M" 25
"91" "M1-R16-M-2-1" 7 2 0.682908104700472 0 7 0 "M1-R16-M-2" "M1-R16" "M" 11
"92" "M1-R16-M-2-10" 0 0 0 0 0 0 "M1-R16-M-2" "M1-R16" "M" 12
"93" "M1-R16-M-2-11" 6 2 0.450561208866305 1 5 0 "M1-R16-M-2" "M1-R16" "M" 9
"94" "M1-R16-M-2-12" 2 2 0.693147180559945 0 2 0 "M1-R16-M-2" "M1-R16" "M" 11
"95" "M1-R16-M-2-13" 0 0 0 0 0 0 "M1-R16-M-2" "M1-R16" "M" 12
"96" "M1-R16-M-2-14" 3 1 0 0 3 0 "M1-R16-M-2" "M1-R16" "M" 14
"97" "M1-R16-M-2-15" 1 1 0 0 1 0 "M1-R16-M-2" "M1-R16" "M" 14
"98" "M1-R16-M-2-16" 3 3 1.09861228866811 1 2 0 "M1-R16-M-2" "M1-R16" "M" 19
"99" "M1-R16-M-2-17" 1 1 0 0 1 0 "M1-R16-M-2" "M1-R16" "M" 24
"100" "M1-R16-M-2-18" 2 2 0.693147180559945 1 1 0 "M1-R16-M-2" "M1-R16" "M" 14
"101" "M1-R16-M-2-19" 4 2 0.562335144618808 0 4 0 "M1-R16-M-2" "M1-R16" "M" 19
"102" "M1-R16-M-2-2" 5 2 0.673011667009257 0 5 0 "M1-R16-M-2" "M1-R16" "M" 11
"103" "M1-R16-M-2-20" 0 0 0 0 0 0 "M1-R16-M-2" "M1-R16" "M" 14
"104" "M1-R16-M-2-21" 14 3 0.655975732336547 1 13 0 "M1-R16-M-2" "M1-R16" "M" 16
"105" "M1-R16-M-2-22" 10 3 0.639031859650177 1 9 0 "M1-R16-M-2" "M1-R16" "M" 10
"106" "M1-R16-M-2-23" 3 2 0.636514168294813 0 3 0 "M1-R16-M-2" "M1-R16" "M" 19
"107" "M1-R16-M-2-24" 7 3 1.07899220787758 2 5 0 "M1-R16-M-2" "M1-R16" "M" 15
"108" "M1-R16-M-2-25" 5 2 0.673011667009257 0 5 0 "M1-R16-M-2" "M1-R16" "M" 17
"109" "M1-R16-M-2-3" 2 1 0 0 2 0 "M1-R16-M-2" "M1-R16" "M" 12
"110" "M1-R16-M-2-4" 16 1 0 0 16 0 "M1-R16-M-2" "M1-R16" "M" 22
"111" "M1-R16-M-2-5" 2 1 0 0 2 0 "M1-R16-M-2" "M1-R16" "M" 11
"112" "M1-R16-M-2-6" 0 0 0 0 0 0 "M1-R16-M-2" "M1-R16" "M" 20
"113" "M1-R16-M-2-7" 1 1 0 0 1 0 "M1-R16-M-2" "M1-R16" "M" 12
"114" "M1-R16-M-2-8" 6 2 0.693147180559945 3 3 0 "M1-R16-M-2" "M1-R16" "M" 19
"115" "M1-R16-M-2-9" 0 0 0 0 0 0 "M1-R16-M-2" "M1-R16" "M" 13
"116" "M1-R16-M-3-1" 6 2 0.693147180559945 3 3 0 "M1-R16-M-3" "M1-R16" "M" 16
"117" "M1-R16-M-3-10" 3 2 0.636514168294813 1 2 0 "M1-R16-M-3" "M1-R16" "M" 7
"118" "M1-R16-M-3-11" 2 1 0 0 2 0 "M1-R16-M-3" "M1-R16" "M" 11
"119" "M1-R16-M-3-12" 21 3 0.380506218477596 2 19 0.693147180559945 "M1-R16-M-3" "M1-R16" "M" 17
"120" "M1-R16-M-3-13" 10 3 0.801818552543337 1 9 0 "M1-R16-M-3" "M1-R16" "M" 12
"121" "M1-R16-M-3-14" 0 0 0 0 0 0 "M1-R16-M-3" "M1-R16" "M" 9
"122" "M1-R16-M-3-15" 5 3 0.950270539233235 1 4 0 "M1-R16-M-3" "M1-R16" "M" 6
"123" "M1-R16-M-3-16" 8 1 0 0 8 0 "M1-R16-M-3" "M1-R16" "M" 14
"124" "M1-R16-M-3-17" 15 2 0.500402423538188 0 15 0 "M1-R16-M-3" "M1-R16" "M" 21
"125" "M1-R16-M-3-18" 1 1 0 0 1 0 "M1-R16-M-3" "M1-R16" "M" 13
"126" "M1-R16-M-3-19" 0 0 0 0 0 0 "M1-R16-M-3" "M1-R16" "M" 10
"127" "M1-R16-M-3-2" 6 2 0.450561208866305 1 5 0 "M1-R16-M-3" "M1-R16" "M" 17
"128" "M1-R16-M-3-20" 2 2 0.693147180559945 1 1 0 "M1-R16-M-3" "M1-R16" "M" 14
"129" "M1-R16-M-3-21" 11 3 0.600166073159646 1 10 0 "M1-R16-M-3" "M1-R16" "M" 17
"130" "M1-R16-M-3-22" 2 2 0.693147180559945 1 1 0 "M1-R16-M-3" "M1-R16" "M" 15
"131" "M1-R16-M-3-23" 3 2 0.636514168294813 0 3 0 "M1-R16-M-3" "M1-R16" "M" 14
"132" "M1-R16-M-3-24" 3 2 0.636514168294813 1 2 0 "M1-R16-M-3" "M1-R16" "M" 18
"133" "M1-R16-M-3-25" 8 4 1.32088834314932 4 4 0.562335144618808 "M1-R16-M-3" "M1-R16" "M" 18
"134" "M1-R16-M-3-3" 13 2 0.271189373041844 1 12 0 "M1-R16-M-3" "M1-R16" "M" 17
"135" "M1-R16-M-3-4" 1 1 0 1 0 0 "M1-R16-M-3" "M1-R16" "M" 17
"136" "M1-R16-M-3-5" 2 2 0.693147180559945 1 1 0 "M1-R16-M-3" "M1-R16" "M" 9
"137" "M1-R16-M-3-6" 2 2 0.693147180559945 1 1 0 "M1-R16-M-3" "M1-R16" "M" 12
"138" "M1-R16-M-3-7" 7 2 0.410116318288409 0 7 0 "M1-R16-M-3" "M1-R16" "M" 16
"139" "M1-R16-M-3-8" 7 2 0.598269588585257 2 5 0 "M1-R16-M-3" "M1-R16" "M" 18
"140" "M1-R16-M-3-9" 1 1 0 1 0 0 "M1-R16-M-3" "M1-R16" "M" 10
"141" "M1-R16-M-4-1" 3 3 1.09861228866811 1 2 0 "M1-R16-M-4" "M1-R16" "M" 13
"142" "M1-R16-M-4-10" 2 1 0 0 2 0 "M1-R16-M-4" "M1-R16" "M" 8
"143" "M1-R16-M-4-11" 7 3 0.955699891112534 3 4 0.636514168294813 "M1-R16-M-4" "M1-R16" "M" 10
"144" "M1-R16-M-4-12" 10 3 0.639031859650177 2 8 0.693147180559945 "M1-R16-M-4" "M1-R16" "M" 12
"145" "M1-R16-M-4-13" 7 3 0.796311640173813 1 6 0 "M1-R16-M-4" "M1-R16" "M" 10
"146" "M1-R16-M-4-14" 3 1 0 3 0 0 "M1-R16-M-4" "M1-R16" "M" 13
"147" "M1-R16-M-4-15" 5 2 0.673011667009257 2 3 0 "M1-R16-M-4" "M1-R16" "M" 10
"148" "M1-R16-M-4-16" 14 3 0.509137344082687 12 2 0 "M1-R16-M-4" "M1-R16" "M" 13
"149" "M1-R16-M-4-17" 5 2 0.673011667009257 5 0 0.673011667009257 "M1-R16-M-4" "M1-R16" "M" 18
"150" "M1-R16-M-4-18" 12 3 0.887694275799104 4 8 0 "M1-R16-M-4" "M1-R16" "M" 15
"151" "M1-R16-M-4-19" 4 3 1.03972077083992 1 3 0 "M1-R16-M-4" "M1-R16" "M" 8
"152" "M1-R16-M-4-2" 6 2 0.450561208866305 1 5 0 "M1-R16-M-4" "M1-R16" "M" 12
"153" "M1-R16-M-4-20" 0 0 0 0 0 0 "M1-R16-M-4" "M1-R16" "M" 12
"154" "M1-R16-M-4-21" 5 3 0.950270539233235 1 4 0 "M1-R16-M-4" "M1-R16" "M" 13
"155" "M1-R16-M-4-22" 14 2 0.257318640543832 1 13 0 "M1-R16-M-4" "M1-R16" "M" 9
"156" "M1-R16-M-4-23" 8 3 0.974314752869349 3 5 0 "M1-R16-M-4" "M1-R16" "M" 9
"157" "M1-R16-M-4-24" 2 1 0 0 2 0 "M1-R16-M-4" "M1-R16" "M" 11
"158" "M1-R16-M-4-25" 4 2 0.693147180559945 0 4 0 "M1-R16-M-4" "M1-R16" "M" 15
"159" "M1-R16-M-4-3" 0 0 0 0 0 0 "M1-R16-M-4" "M1-R16" "M" 15
"160" "M1-R16-M-4-4" 3 2 0.636514168294813 2 1 0 "M1-R16-M-4" "M1-R16" "M" 12
"161" "M1-R16-M-4-5" 0 0 0 0 0 0 "M1-R16-M-4" "M1-R16" "M" 15
"162" "M1-R16-M-4-6" 13 2 0.666278442414676 5 8 0 "M1-R16-M-4" "M1-R16" "M" 176
"163" "M1-R16-M-4-7" 18 2 0.348832095843032 2 16 0 "M1-R16-M-4" "M1-R16" "M" 13
"164" "M1-R16-M-4-8" 14 3 0.75893677276206 1 13 0 "M1-R16-M-4" "M1-R16" "M" 9
"165" "M1-R16-M-4-9" 6 3 0.867563228481461 1 5 0 "M1-R16-M-4" "M1-R16" "M" 6
"166" "M1-R16-M-5-1" 10 3 0.639031859650177 2 8 0.693147180559945 "M1-R16-M-5" "M1-R16" "M" 13
"167" "M1-R16-M-5-10" 9 1 0 0 9 0 "M1-R16-M-5" "M1-R16" "M" 8
"168" "M1-R16-M-5-11" 18 2 0.693147180559945 9 9 0 "M1-R16-M-5" "M1-R16" "M" 14
"169" "M1-R16-M-5-12" 2 1 0 0 2 0 "M1-R16-M-5" "M1-R16" "M" 14
"170" "M1-R16-M-5-13" 1 1 0 1 0 0 "M1-R16-M-5" "M1-R16" "M" 15
"171" "M1-R16-M-5-14" 25 2 0.278769371768587 0 25 0 "M1-R16-M-5" "M1-R16" "M" 17
"172" "M1-R16-M-5-15" 25 2 0.167944147734173 0 25 0 "M1-R16-M-5" "M1-R16" "M" 12
"173" "M1-R16-M-5-16" 8 2 0.376770161256437 1 7 0 "M1-R16-M-5" "M1-R16" "M" 9
"174" "M1-R16-M-5-17" 4 2 0.562335144618808 1 3 0 "M1-R16-M-5" "M1-R16" "M" 7
"175" "M1-R16-M-5-18" 11 2 0.585952618303551 0 11 0 "M1-R16-M-5" "M1-R16" "M" 15
"176" "M1-R16-M-5-19" 44 2 0.184907399167776 0 44 0 "M1-R16-M-5" "M1-R16" "M" 16
"177" "M1-R16-M-5-2" 2 2 0.693147180559945 1 1 0 "M1-R16-M-5" "M1-R16" "M" 17
"178" "M1-R16-M-5-20" 67 2 0.226145377493263 0 67 0 "M1-R16-M-5" "M1-R16" "M" 14
"179" "M1-R16-M-5-21" 4 1 0 0 4 0 "M1-R16-M-5" "M1-R16" "M" 7
"180" "M1-R16-M-5-22" 5 2 0.673011667009257 0 5 0 "M1-R16-M-5" "M1-R16" "M" 12
"181" "M1-R16-M-5-23" 16 3 0.735621939758795 2 14 0 "M1-R16-M-5" "M1-R16" "M" 13
"182" "M1-R16-M-5-24" 36 2 0.348832095843032 0 36 0 "M1-R16-M-5" "M1-R16" "M" 17
"183" "M1-R16-M-5-25" 110 3 0.142489641714745 1 109 0 "M1-R16-M-5" "M1-R16" "M" 14
"184" "M1-R16-M-5-3" 4 3 1.03972077083992 1 3 0 "M1-R16-M-5" "M1-R16" "M" 15
"185" "M1-R16-M-5-4" 10 1 0 0 10 0 "M1-R16-M-5" "M1-R16" "M" 14
"186" "M1-R16-M-5-5" 6 1 0 0 6 0 "M1-R16-M-5" "M1-R16" "M" 14
"187" "M1-R16-M-5-6" 6 2 0.450561208866305 1 5 0 "M1-R16-M-5" "M1-R16" "M" 12
"188" "M1-R16-M-5-7" 3 1 0 0 3 0 "M1-R16-M-5" "M1-R16" "M" 11
"189" "M1-R16-M-5-8" 7 3 0.796311640173813 1 6 0 "M1-R16-M-5" "M1-R16" "M" 15
"190" "M1-R16-M-5-9" 7 2 0.410116318288409 1 6 0 "M1-R16-M-5" "M1-R16" "M" 15
"191" "M2-D16-M-1-1" 45 2 0.619986801911361 0 45 0 "M2-D16-M-1" "M2-D16" "M" 7.2
"192" "M2-D16-M-1-11" 32 4 0.901694413572989 4 28 0.562335144618808 "M2-D16-M-1" "M2-D16" "M" 7.7
"193" "M2-D16-M-1-13" 36 3 0.425848449238581 2 34 0 "M2-D16-M-1" "M2-D16" "M" 5.3
"194" "M2-D16-M-1-15" 27 2 0.348832095843032 0 27 0 "M2-D16-M-1" "M2-D16" "M" 9.3
"195" "M2-D16-M-1-17" 15 3 0.882310924515076 1 14 0 "M2-D16-M-1" "M2-D16" "M" 6.8
"196" "M2-D16-M-1-19" 26 2 0.271189373041844 0 26 0 "M2-D16-M-1" "M2-D16" "M" 8.9
"197" "M2-D16-M-1-21" 26 2 0.163023629494366 1 25 0 "M2-D16-M-1" "M2-D16" "M" 6.7
"198" "M2-D16-M-1-23" 49 4 0.426510486714549 2 47 0.693147180559945 "M2-D16-M-1" "M2-D16" "M" 8.3
"199" "M2-D16-M-1-25" 8 2 0.376770161256437 0 8 0 "M2-D16-M-1" "M2-D16" "M" 7.9
"200" "M2-D16-M-1-3" 43 2 0.542348942243927 0 43 0 "M2-D16-M-1" "M2-D16" "M" 7
"201" "M2-D16-M-1-5" 57 5 0.59448626188811 3 54 1.09861228866811 "M2-D16-M-1" "M2-D16" "M" 5.4
"202" "M2-D16-M-1-7" 48 3 0.475221603611121 1 47 0 "M2-D16-M-1" "M2-D16" "M" 8.4
"203" "M2-D16-M-1-9" 68 4 0.340241874515719 4 64 0.693147180559945 "M2-D16-M-1" "M2-D16" "M" 7
"204" "M2-D16-M-2-1" 19 3 1.08707415553776 5 14 0 "M2-D16-M-2" "M2-D16" "M" 6.4
"205" "M2-D16-M-2-11" 15 3 0.729871209983116 1 14 0 "M2-D16-M-2" "M2-D16" "M" 6.9
"206" "M2-D16-M-2-13" 13 2 0.617241769730342 0 13 0 "M2-D16-M-2" "M2-D16" "M" 7.7
"207" "M2-D16-M-2-15" 16 3 0.974314752869349 2 14 0 "M2-D16-M-2" "M2-D16" "M" 6.5
"208" "M2-D16-M-2-17" 17 3 0.971848771235877 2 15 0 "M2-D16-M-2" "M2-D16" "M" 7.3
"209" "M2-D16-M-2-19" 34 4 0.5573188794511 2 32 0.693147180559945 "M2-D16-M-2" "M2-D16" "M" 8
"210" "M2-D16-M-2-21" 19 3 1.01326902624973 3 16 0 "M2-D16-M-2" "M2-D16" "M" 9.4
"211" "M2-D16-M-2-23" 45 4 1.02003695840184 9 36 0.348832095843032 "M2-D16-M-2" "M2-D16" "M" 7.9
"212" "M2-D16-M-2-25" 45 5 1.25361416237522 20 25 0.926506603289533 "M2-D16-M-2" "M2-D16" "M" 9.2
"213" "M2-D16-M-2-3" 20 2 0.325082973391448 2 18 0 "M2-D16-M-2" "M2-D16" "M" 8.1
"214" "M2-D16-M-2-5" 8 3 0.974314752869349 1 7 0 "M2-D16-M-2" "M2-D16" "M" 7.7
"215" "M2-D16-M-2-7" 50 1 0 0 50 0 "M2-D16-M-2" "M2-D16" "M" 8.3
"216" "M2-D16-M-2-9" 19 4 1.21121442162504 5 14 0.500402423538188 "M2-D16-M-2" "M2-D16" "M" 5.5
"217" "M2-D16-M-3-1" 28 4 0.905788508568717 2 26 0.693147180559945 "M2-D16-M-3" "M2-D16" "M" 5.4
"218" "M2-D16-M-3-11" 32 3 0.875258938516116 2 30 0 "M2-D16-M-3" "M2-D16" "M" 8.7
"219" "M2-D16-M-3-13" 8 4 1.2130075659799 3 5 0.636514168294813 "M2-D16-M-3" "M2-D16" "M" 4.9
"220" "M2-D16-M-3-15" 18 2 0.590842246275583 0 18 0 "M2-D16-M-3" "M2-D16" "M" 9.8
"221" "M2-D16-M-3-17" 12 3 1.03972077083992 3 9 0 "M2-D16-M-3" "M2-D16" "M" 6.6
"222" "M2-D16-M-3-19" 17 3 0.893888536244996 3 14 0 "M2-D16-M-3" "M2-D16" "M" 6.8
"223" "M2-D16-M-3-21" 43 3 0.769653081492151 1 42 0 "M2-D16-M-3" "M2-D16" "M" 7
"224" "M2-D16-M-3-23" 35 3 0.910076086713223 3 32 0 "M2-D16-M-3" "M2-D16" "M" 6.1
"225" "M2-D16-M-3-25" 32 3 0.925756418036726 3 29 0 "M2-D16-M-3" "M2-D16" "M" 6.7
"226" "M2-D16-M-3-3" 22 3 0.48510450039094 1 21 0 "M2-D16-M-3" "M2-D16" "M" 5.7
"227" "M2-D16-M-3-5" 31 3 0.283936266755864 2 29 0.693147180559945 "M2-D16-M-3" "M2-D16" "M" 9.9
"228" "M2-D16-M-3-7" 24 4 0.835894813217688 2 22 0.693147180559945 "M2-D16-M-3" "M2-D16" "M" 6.7
"229" "M2-D16-M-3-9" 29 3 0.8192404772545 1 28 0 "M2-D16-M-3" "M2-D16" "M" 7.8
"230" "M2-D16-M-4-1" 32 2 0.685314207276458 0 32 0 "M2-D16-M-4" "M2-D16" "M" 6.3
"231" "M2-D16-M-4-11" 28 3 0.89820533970415 2 26 0 "M2-D16-M-4" "M2-D16" "M" 7
"232" "M2-D16-M-4-13" 27 2 0.529706199057654 0 27 0 "M2-D16-M-4" "M2-D16" "M" 8.8
"233" "M2-D16-M-4-15" 46 2 0.573964491393324 0 46 0 "M2-D16-M-4" "M2-D16" "M" 6
"234" "M2-D16-M-4-17" 4 1 0 0 4 0 "M2-D16-M-4" "M2-D16" "M" 9
